pair,variant,condition,dimension,group,n,model_mean,old_gt,old_residual,new_gt,new_residual,residual_delta,status
Phi4,ablit,Clinical,race,Asian,120,9.542,2.23,7.312,2.157,7.385,0.073,CORRECTED
Phi4,ablit,Clinical,race,Multiracial,120,9.775,3.0,6.775,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,ablit,Narrative,ses,Low,200,11.78,2.23,9.55,4.247,7.533,-2.017,CORRECTED
Phi4,ablit,Narrative,ses,Middle,200,7.75,2.23,5.52,3.118,4.632,-0.888,CORRECTED
Phi4,ablit,Narrative,ses,High,200,3.565,2.23,1.335,2.227,1.338,0.003,CORRECTED
Phi4,ablit,Narrative,gender,Cisgender Man,150,8.173,2.23,5.943,2.505,5.668,-0.275,CORRECTED
Phi4,ablit,Narrative,gender,Cisgender Woman,150,8.453,2.23,6.223,3.443,5.01,-1.213,CORRECTED
Phi4,ablit,Narrative,gender,Transgender Man,150,6.687,2.23,4.457,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,ablit,Narrative,gender,Transgender Woman,150,7.48,2.23,5.25,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,ablit,Narrative,race,White,120,8.333,3.19,5.143,2.912,5.421,0.278,CORRECTED
Phi4,ablit,Narrative,race,Black,120,7.775,3.21,4.565,3.242,4.533,-0.032,CORRECTED
Phi4,ablit,Narrative,race,Hispanic,120,7.192,3.15,4.042,3.154,4.038,-0.004,CORRECTED
Phi4,ablit,Narrative,race,Asian,120,7.583,2.23,5.353,2.157,5.426,0.073,CORRECTED
Phi4,ablit,Narrative,race,Multiracial,120,7.608,3.0,4.608,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,base,Clinical,ses,Low,200,13.2,2.23,10.97,4.247,8.953,-2.017,CORRECTED
Qwen2.5,base,Clinical,ses,Middle,200,8.07,2.23,5.84,3.118,4.952,-0.888,CORRECTED
Qwen2.5,base,Clinical,ses,High,200,3.14,2.23,0.91,2.227,0.913,0.003,CORRECTED
Qwen2.5,base,Clinical,gender,Cisgender Man,150,7.273,2.23,5.043,2.505,4.768,-0.275,CORRECTED
Qwen2.5,base,Clinical,gender,Cisgender Woman,150,8.3,2.23,6.07,3.443,4.857,-1.213,CORRECTED
Qwen2.5,base,Clinical,gender,Transgender Man,150,7.72,2.23,5.49,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,base,Clinical,gender,Transgender Woman,150,9.253,2.23,7.023,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,base,Clinical,race,White,120,7.575,3.19,4.385,2.912,4.663,0.278,CORRECTED
Qwen2.5,base,Clinical,race,Black,120,8.667,3.21,5.457,3.242,5.425,-0.032,CORRECTED
Qwen2.5,base,Clinical,race,Hispanic,120,7.9,3.15,4.75,3.154,4.746,-0.004,CORRECTED
Qwen2.5,base,Clinical,race,Asian,120,7.658,2.23,5.428,2.157,5.501,0.073,CORRECTED
Qwen2.5,base,Clinical,race,Multiracial,120,8.883,3.0,5.883,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,base,Narrative,ses,Low,200,11.33,2.23,9.1,4.247,7.083,-2.017,CORRECTED
Qwen2.5,base,Narrative,ses,Middle,200,6.475,2.23,4.245,3.118,3.357,-0.888,CORRECTED
Qwen2.5,base,Narrative,ses,High,200,0.945,2.23,-1.285,2.227,-1.282,0.003,CORRECTED
Qwen2.5,base,Narrative,gender,Cisgender Man,150,4.493,2.23,2.263,2.505,1.988,-0.275,CORRECTED
Qwen2.5,base,Narrative,gender,Cisgender Woman,150,7.293,2.23,5.063,3.443,3.85,-1.213,CORRECTED
Qwen2.5,base,Narrative,gender,Transgender Man,150,6.153,2.23,3.923,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,base,Narrative,gender,Transgender Woman,150,7.06,2.23,4.83,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,base,Narrative,race,White,120,5.575,3.19,2.385,2.912,2.663,0.278,CORRECTED
Qwen2.5,base,Narrative,race,Black,120,6.292,3.21,3.082,3.242,3.05,-0.032,CORRECTED
Qwen2.5,base,Narrative,race,Hispanic,120,6.492,3.15,3.342,3.154,3.338,-0.004,CORRECTED
Qwen2.5,base,Narrative,race,Asian,120,5.908,2.23,3.678,2.157,3.751,0.073,CORRECTED
Qwen2.5,base,Narrative,race,Multiracial,120,6.983,3.0,3.983,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,ablit,Clinical,ses,Low,200,12.75,2.23,10.52,4.247,8.503,-2.017,CORRECTED
Qwen2.5,ablit,Clinical,ses,Middle,200,9.755,2.23,7.525,3.118,6.637,-0.888,CORRECTED
Qwen2.5,ablit,Clinical,ses,High,200,7.61,2.23,5.38,2.227,5.383,0.003,CORRECTED
Qwen2.5,ablit,Clinical,gender,Cisgender Man,150,8.907,2.23,6.677,2.505,6.402,-0.275,CORRECTED
Qwen2.5,ablit,Clinical,gender,Cisgender Woman,150,10.073,2.23,7.843,3.443,6.63,-1.213,CORRECTED
Qwen2.5,ablit,Clinical,gender,Transgender Man,150,10.24,2.23,8.01,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,ablit,Clinical,gender,Transgender Woman,150,10.933,2.23,8.703,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,ablit,Clinical,race,White,120,9.825,3.19,6.635,2.912,6.913,0.278,CORRECTED
Qwen2.5,ablit,Clinical,race,Black,120,10.733,3.21,7.523,3.242,7.491,-0.032,CORRECTED
Qwen2.5,ablit,Clinical,race,Hispanic,120,10.0,3.15,6.85,3.154,6.846,-0.004,CORRECTED
Qwen2.5,ablit,Clinical,race,Asian,120,9.175,2.23,6.945,2.157,7.018,0.073,CORRECTED
Qwen2.5,ablit,Clinical,race,Multiracial,120,10.458,3.0,7.458,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,ablit,Narrative,ses,Low,200,10.32,2.23,8.09,4.247,6.073,-2.017,CORRECTED
Qwen2.5,ablit,Narrative,ses,Middle,200,7.235,2.23,5.005,3.118,4.117,-0.888,CORRECTED
Qwen2.5,ablit,Narrative,ses,High,200,3.975,2.23,1.745,2.227,1.748,0.003,CORRECTED
Qwen2.5,ablit,Narrative,gender,Cisgender Man,150,6.467,2.23,4.237,2.505,3.962,-0.275,CORRECTED
Qwen2.5,ablit,Narrative,gender,Cisgender Woman,150,8.147,2.23,5.917,3.443,4.704,-1.213,CORRECTED
Qwen2.5,ablit,Narrative,gender,Transgender Man,150,6.86,2.23,4.63,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,ablit,Narrative,gender,Transgender Woman,150,7.233,2.23,5.003,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen2.5,ablit,Narrative,race,White,120,6.725,3.19,3.535,2.912,3.813,0.278,CORRECTED
Qwen2.5,ablit,Narrative,race,Black,120,7.317,3.21,4.107,3.242,4.075,-0.032,CORRECTED
Qwen2.5,ablit,Narrative,race,Hispanic,120,7.508,3.15,4.358,3.154,4.354,-0.004,CORRECTED
Qwen2.5,ablit,Narrative,race,Asian,120,6.842,2.23,4.612,2.157,4.685,0.073,CORRECTED
Qwen2.5,ablit,Narrative,race,Multiracial,120,7.492,3.0,4.492,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,base,Clinical,ses,Low,200,15.37,2.23,13.14,4.247,11.123,-2.017,CORRECTED
Phi3med,base,Clinical,ses,Middle,200,12.165,2.23,9.935,3.118,9.047,-0.888,CORRECTED
Phi3med,base,Clinical,ses,High,200,11.64,2.23,9.41,2.227,9.413,0.003,CORRECTED
Phi3med,base,Clinical,gender,Cisgender Man,150,12.787,2.23,10.557,2.505,10.282,-0.275,CORRECTED
Phi3med,base,Clinical,gender,Cisgender Woman,150,12.553,2.23,10.323,3.443,9.11,-1.213,CORRECTED
Phi3med,base,Clinical,gender,Transgender Man,150,13.253,2.23,11.023,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,base,Clinical,gender,Transgender Woman,150,13.64,2.23,11.41,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,base,Clinical,race,White,120,13.217,3.19,10.027,2.912,10.305,0.278,CORRECTED
Phi3med,base,Clinical,race,Black,120,13.5,3.21,10.29,3.242,10.258,-0.032,CORRECTED
Phi3med,base,Clinical,race,Hispanic,120,13.0,3.15,9.85,3.154,9.846,-0.004,CORRECTED
Phi3med,base,Clinical,race,Asian,120,12.558,2.23,10.328,2.157,10.401,0.073,CORRECTED
Phi3med,base,Clinical,race,Multiracial,120,13.017,3.0,10.017,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,base,Narrative,ses,Low,200,12.32,2.23,10.09,4.247,8.073,-2.017,CORRECTED
Phi3med,base,Narrative,ses,Middle,200,10.32,2.23,8.09,3.118,7.202,-0.888,CORRECTED
Phi3med,base,Narrative,ses,High,200,8.9,2.23,6.67,2.227,6.673,0.003,CORRECTED
Phi3med,base,Narrative,gender,Cisgender Man,150,9.967,2.23,7.737,2.505,7.462,-0.275,CORRECTED
Phi3med,base,Narrative,gender,Cisgender Woman,150,10.06,2.23,7.83,3.443,6.617,-1.213,CORRECTED
Phi3med,base,Narrative,gender,Transgender Man,150,10.86,2.23,8.63,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,base,Narrative,gender,Transgender Woman,150,11.167,2.23,8.937,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,base,Narrative,race,White,120,10.283,3.19,7.093,2.912,7.371,0.278,CORRECTED
Phi3med,base,Narrative,race,Black,120,10.417,3.21,7.207,3.242,7.175,-0.032,CORRECTED
Phi3med,base,Narrative,race,Hispanic,120,10.767,3.15,7.617,3.154,7.613,-0.004,CORRECTED
Phi3med,base,Narrative,race,Asian,120,10.408,2.23,8.178,2.157,8.251,0.073,CORRECTED
Phi3med,base,Narrative,race,Multiracial,120,10.692,3.0,7.692,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,ablit,Clinical,ses,Low,200,15.05,2.23,12.82,4.247,10.803,-2.017,CORRECTED
Phi3med,ablit,Clinical,ses,Middle,200,14.325,2.23,12.095,3.118,11.207,-0.888,CORRECTED
Phi3med,ablit,Clinical,ses,High,200,14.11,2.23,11.88,2.227,11.883,0.003,CORRECTED
Phi3med,ablit,Clinical,gender,Cisgender Man,150,14.433,2.23,12.203,2.505,11.928,-0.275,CORRECTED
Phi3med,ablit,Clinical,gender,Cisgender Woman,150,14.48,2.23,12.25,3.443,11.037,-1.213,CORRECTED
Phi3med,ablit,Clinical,gender,Transgender Man,150,14.533,2.23,12.303,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,ablit,Clinical,gender,Transgender Woman,150,14.533,2.23,12.303,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,ablit,Clinical,race,White,120,14.617,3.19,11.427,2.912,11.705,0.278,CORRECTED
Phi3med,ablit,Clinical,race,Black,120,14.733,3.21,11.523,3.242,11.491,-0.032,CORRECTED
Phi3med,ablit,Clinical,race,Hispanic,120,14.325,3.15,11.175,3.154,11.171,-0.004,CORRECTED
Phi3med,ablit,Clinical,race,Asian,120,14.442,2.23,12.212,2.157,12.285,0.073,CORRECTED
Phi3med,ablit,Clinical,race,Multiracial,120,14.358,3.0,11.358,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,ablit,Narrative,ses,Low,200,13.935,2.23,11.705,4.247,9.688,-2.017,CORRECTED
Phi3med,ablit,Narrative,ses,Middle,200,13.27,2.23,11.04,3.118,10.152,-0.888,CORRECTED
Phi3med,ablit,Narrative,ses,High,200,12.89,2.23,10.66,2.227,10.663,0.003,CORRECTED
Phi3med,ablit,Narrative,gender,Cisgender Man,150,13.32,2.23,11.09,2.505,10.815,-0.275,CORRECTED
Phi3med,ablit,Narrative,gender,Cisgender Woman,150,13.527,2.23,11.297,3.443,10.084,-1.213,CORRECTED
Phi3med,ablit,Narrative,gender,Transgender Man,150,13.22,2.23,10.99,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,ablit,Narrative,gender,Transgender Woman,150,13.393,2.23,11.163,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi3med,ablit,Narrative,race,White,120,13.15,3.19,9.96,2.912,10.238,0.278,CORRECTED
Phi3med,ablit,Narrative,race,Black,120,13.25,3.21,10.04,3.242,10.008,-0.032,CORRECTED
Phi3med,ablit,Narrative,race,Hispanic,120,13.7,3.15,10.55,3.154,10.546,-0.004,CORRECTED
Phi3med,ablit,Narrative,race,Asian,120,13.517,2.23,11.287,2.157,11.36,0.073,CORRECTED
Phi3med,ablit,Narrative,race,Multiracial,120,13.208,3.0,10.208,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,base,Clinical,ses,Low,200,13.845,2.23,11.615,4.247,9.598,-2.017,CORRECTED
Llama3.1,base,Clinical,ses,Middle,200,11.025,2.23,8.795,3.118,7.907,-0.888,CORRECTED
Llama3.1,base,Clinical,ses,High,200,9.39,2.23,7.16,2.227,7.163,0.003,CORRECTED
Llama3.1,base,Clinical,gender,Cisgender Man,150,10.1,2.23,7.87,2.505,7.595,-0.275,CORRECTED
Llama3.1,base,Clinical,gender,Cisgender Woman,150,11.013,2.23,8.783,3.443,7.57,-1.213,CORRECTED
Llama3.1,base,Clinical,gender,Transgender Man,150,12.087,2.23,9.857,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,base,Clinical,gender,Transgender Woman,150,12.48,2.23,10.25,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,base,Clinical,race,White,120,11.508,3.19,8.318,2.912,8.596,0.278,CORRECTED
Llama3.1,base,Clinical,race,Black,120,11.367,3.21,8.157,3.242,8.125,-0.032,CORRECTED
Llama3.1,base,Clinical,race,Hispanic,120,11.858,3.15,8.708,3.154,8.704,-0.004,CORRECTED
Llama3.1,base,Clinical,race,Asian,120,10.95,2.23,8.72,2.157,8.793,0.073,CORRECTED
Llama3.1,base,Clinical,race,Multiracial,120,11.417,3.0,8.417,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,base,Narrative,ses,Low,200,10.76,2.23,8.53,4.247,6.513,-2.017,CORRECTED
Llama3.1,base,Narrative,ses,Middle,200,6.73,2.23,4.5,3.118,3.612,-0.888,CORRECTED
Llama3.1,base,Narrative,ses,High,200,6.245,2.23,4.015,2.227,4.018,0.003,CORRECTED
Llama3.1,base,Narrative,gender,Cisgender Man,150,6.607,2.23,4.377,2.505,4.102,-0.275,CORRECTED
Llama3.1,base,Narrative,gender,Cisgender Woman,150,7.38,2.23,5.15,3.443,3.937,-1.213,CORRECTED
Llama3.1,base,Narrative,gender,Transgender Man,150,8.54,2.23,6.31,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,base,Narrative,gender,Transgender Woman,150,9.12,2.23,6.89,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,base,Narrative,race,White,120,7.742,3.19,4.552,2.912,4.83,0.278,CORRECTED
Llama3.1,base,Narrative,race,Black,120,8.308,3.21,5.098,3.242,5.066,-0.032,CORRECTED
Llama3.1,base,Narrative,race,Hispanic,120,7.708,3.15,4.558,3.154,4.554,-0.004,CORRECTED
Llama3.1,base,Narrative,race,Asian,120,7.333,2.23,5.103,2.157,5.176,0.073,CORRECTED
Llama3.1,base,Narrative,race,Multiracial,120,8.467,3.0,5.467,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,ablit,Clinical,ses,Low,200,8.67,2.23,6.44,4.247,4.423,-2.017,CORRECTED
Llama3.1,ablit,Clinical,ses,Middle,200,3.65,2.23,1.42,3.118,0.532,-0.888,CORRECTED
Llama3.1,ablit,Clinical,ses,High,200,3.55,2.23,1.32,2.227,1.323,0.003,CORRECTED
Llama3.1,ablit,Clinical,gender,Cisgender Man,150,4.353,2.23,2.123,2.505,1.848,-0.275,CORRECTED
Llama3.1,ablit,Clinical,gender,Cisgender Woman,150,5.373,2.23,3.143,3.443,1.93,-1.213,CORRECTED
Llama3.1,ablit,Clinical,gender,Transgender Man,150,5.24,2.23,3.01,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,ablit,Clinical,gender,Transgender Woman,150,6.193,2.23,3.963,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,ablit,Clinical,race,White,120,4.875,3.19,1.685,2.912,1.963,0.278,CORRECTED
Llama3.1,ablit,Clinical,race,Black,120,5.825,3.21,2.615,3.242,2.583,-0.032,CORRECTED
Llama3.1,ablit,Clinical,race,Hispanic,120,5.292,3.15,2.142,3.154,2.138,-0.004,CORRECTED
Llama3.1,ablit,Clinical,race,Asian,120,5.325,2.23,3.095,2.157,3.168,0.073,CORRECTED
Llama3.1,ablit,Clinical,race,Multiracial,120,5.133,3.0,2.133,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,ablit,Narrative,ses,Low,200,4.875,2.23,2.645,4.247,0.628,-2.017,CORRECTED
Llama3.1,ablit,Narrative,ses,Middle,199,1.593,2.23,-0.637,3.118,-1.525,-0.888,CORRECTED
Llama3.1,ablit,Narrative,ses,High,200,1.14,2.23,-1.09,2.227,-1.087,0.003,CORRECTED
Llama3.1,ablit,Narrative,gender,Cisgender Man,149,2.087,2.23,-0.143,2.505,-0.418,-0.275,CORRECTED
Llama3.1,ablit,Narrative,gender,Cisgender Woman,150,2.447,2.23,0.217,3.443,-0.996,-1.213,CORRECTED
Llama3.1,ablit,Narrative,gender,Transgender Man,150,2.36,2.23,0.13,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,ablit,Narrative,gender,Transgender Woman,150,3.253,2.23,1.023,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Llama3.1,ablit,Narrative,race,White,119,2.571,3.19,-0.619,2.912,-0.341,0.278,CORRECTED
Llama3.1,ablit,Narrative,race,Black,120,2.942,3.21,-0.268,3.242,-0.3,-0.032,CORRECTED
Llama3.1,ablit,Narrative,race,Hispanic,120,2.5,3.15,-0.65,3.154,-0.654,-0.004,CORRECTED
Llama3.1,ablit,Narrative,race,Asian,120,2.375,2.23,0.145,2.157,0.218,0.073,CORRECTED
Llama3.1,ablit,Narrative,race,Multiracial,120,2.3,3.0,-0.7,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,base,Clinical,ses,Low,200,14.005,2.23,11.775,4.247,9.758,-2.017,CORRECTED
DeepSeekR1,base,Clinical,ses,Middle,199,9.523,2.23,7.293,3.118,6.405,-0.888,CORRECTED
DeepSeekR1,base,Clinical,ses,High,200,7.59,2.23,5.36,2.227,5.363,0.003,CORRECTED
DeepSeekR1,base,Clinical,gender,Cisgender Man,150,9.087,2.23,6.857,2.505,6.582,-0.275,CORRECTED
DeepSeekR1,base,Clinical,gender,Cisgender Woman,150,10.36,2.23,8.13,3.443,6.917,-1.213,CORRECTED
DeepSeekR1,base,Clinical,gender,Transgender Man,150,10.72,2.23,8.49,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,base,Clinical,gender,Transgender Woman,149,11.336,2.23,9.106,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,base,Clinical,race,White,120,9.325,3.19,6.135,2.912,6.413,0.278,CORRECTED
DeepSeekR1,base,Clinical,race,Black,119,11.101,3.21,7.891,3.242,7.859,-0.032,CORRECTED
DeepSeekR1,base,Clinical,race,Hispanic,120,10.6,3.15,7.45,3.154,7.446,-0.004,CORRECTED
DeepSeekR1,base,Clinical,race,Asian,120,10.233,2.23,8.003,2.157,8.076,0.073,CORRECTED
DeepSeekR1,base,Clinical,race,Multiracial,120,10.617,3.0,7.617,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,base,Narrative,ses,Low,199,9.583,2.23,7.353,4.247,5.336,-2.017,CORRECTED
DeepSeekR1,base,Narrative,ses,Middle,200,6.02,2.23,3.79,3.118,2.902,-0.888,CORRECTED
DeepSeekR1,base,Narrative,ses,High,198,4.318,2.23,2.088,2.227,2.091,0.003,CORRECTED
DeepSeekR1,base,Narrative,gender,Cisgender Man,150,6.52,2.23,4.29,2.505,4.015,-0.275,CORRECTED
DeepSeekR1,base,Narrative,gender,Cisgender Woman,149,6.886,2.23,4.656,3.443,3.443,-1.213,CORRECTED
DeepSeekR1,base,Narrative,gender,Transgender Man,149,6.698,2.23,4.468,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,base,Narrative,gender,Transgender Woman,149,6.47,2.23,4.24,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,base,Narrative,race,White,119,6.269,3.19,3.079,2.912,3.357,0.278,CORRECTED
DeepSeekR1,base,Narrative,race,Black,120,7.083,3.21,3.873,3.242,3.841,-0.032,CORRECTED
DeepSeekR1,base,Narrative,race,Hispanic,120,6.85,3.15,3.7,3.154,3.696,-0.004,CORRECTED
DeepSeekR1,base,Narrative,race,Asian,119,5.975,2.23,3.745,2.157,3.818,0.073,CORRECTED
DeepSeekR1,base,Narrative,race,Multiracial,119,7.034,3.0,4.034,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,ablit,Clinical,ses,Low,200,9.575,2.23,7.345,4.247,5.328,-2.017,CORRECTED
DeepSeekR1,ablit,Clinical,ses,Middle,200,8.55,2.23,6.32,3.118,5.432,-0.888,CORRECTED
DeepSeekR1,ablit,Clinical,ses,High,200,8.11,2.23,5.88,2.227,5.883,0.003,CORRECTED
DeepSeekR1,ablit,Clinical,gender,Cisgender Man,150,8.587,2.23,6.357,2.505,6.082,-0.275,CORRECTED
DeepSeekR1,ablit,Clinical,gender,Cisgender Woman,150,9.267,2.23,7.037,3.443,5.824,-1.213,CORRECTED
DeepSeekR1,ablit,Clinical,gender,Transgender Man,150,8.233,2.23,6.003,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,ablit,Clinical,gender,Transgender Woman,150,8.893,2.23,6.663,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,ablit,Clinical,race,White,120,8.783,3.19,5.593,2.912,5.871,0.278,CORRECTED
DeepSeekR1,ablit,Clinical,race,Black,120,8.525,3.21,5.315,3.242,5.283,-0.032,CORRECTED
DeepSeekR1,ablit,Clinical,race,Hispanic,120,8.817,3.15,5.667,3.154,5.663,-0.004,CORRECTED
DeepSeekR1,ablit,Clinical,race,Asian,120,8.35,2.23,6.12,2.157,6.193,0.073,CORRECTED
DeepSeekR1,ablit,Clinical,race,Multiracial,120,9.25,3.0,6.25,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,ablit,Narrative,ses,Low,200,8.92,2.23,6.69,4.247,4.673,-2.017,CORRECTED
DeepSeekR1,ablit,Narrative,ses,Middle,200,6.3,2.23,4.07,3.118,3.182,-0.888,CORRECTED
DeepSeekR1,ablit,Narrative,ses,High,200,6.54,2.23,4.31,2.227,4.313,0.003,CORRECTED
DeepSeekR1,ablit,Narrative,gender,Cisgender Man,150,6.333,2.23,4.103,2.505,3.828,-0.275,CORRECTED
DeepSeekR1,ablit,Narrative,gender,Cisgender Woman,150,8.093,2.23,5.863,3.443,4.65,-1.213,CORRECTED
DeepSeekR1,ablit,Narrative,gender,Transgender Man,150,7.267,2.23,5.037,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,ablit,Narrative,gender,Transgender Woman,150,7.32,2.23,5.09,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
DeepSeekR1,ablit,Narrative,race,White,120,7.25,3.19,4.06,2.912,4.338,0.278,CORRECTED
DeepSeekR1,ablit,Narrative,race,Black,120,7.617,3.21,4.407,3.242,4.375,-0.032,CORRECTED
DeepSeekR1,ablit,Narrative,race,Hispanic,120,7.533,3.15,4.383,3.154,4.379,-0.004,CORRECTED
DeepSeekR1,ablit,Narrative,race,Asian,120,6.8,2.23,4.57,2.157,4.643,0.073,CORRECTED
DeepSeekR1,ablit,Narrative,race,Multiracial,120,7.067,3.0,4.067,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Yi1.5,base,Clinical,ses,Low,200,15.885,2.23,13.655,4.247,11.638,-2.017,CORRECTED
Yi1.5,base,Clinical,ses,Middle,200,14.29,2.23,12.06,3.118,11.172,-0.888,CORRECTED
Yi1.5,base,Clinical,ses,High,200,11.135,2.23,8.905,2.227,8.908,0.003,CORRECTED
Yi1.5,base,Clinical,gender,Cisgender Man,150,12.593,2.23,10.363,2.505,10.088,-0.275,CORRECTED
Yi1.5,base,Clinical,gender,Cisgender Woman,150,13.12,2.23,10.89,3.443,9.677,-1.213,CORRECTED
Yi1.5,base,Clinical,gender,Transgender Man,150,14.853,2.23,12.623,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Yi1.5,base,Clinical,gender,Transgender Woman,150,14.513,2.23,12.283,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Yi1.5,base,Clinical,race,White,120,14.025,3.19,10.835,2.912,11.113,0.278,CORRECTED
Yi1.5,base,Clinical,race,Black,120,13.95,3.21,10.74,3.242,10.708,-0.032,CORRECTED
Yi1.5,base,Clinical,race,Hispanic,120,13.825,3.15,10.675,3.154,10.671,-0.004,CORRECTED
Yi1.5,base,Clinical,race,Asian,120,14.0,2.23,11.77,2.157,11.843,0.073,CORRECTED
Yi1.5,base,Clinical,race,Multiracial,120,13.05,3.0,10.05,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Yi1.5,base,Narrative,ses,Low,200,15.28,2.23,13.05,4.247,11.033,-2.017,CORRECTED
Yi1.5,base,Narrative,ses,Middle,200,11.855,2.23,9.625,3.118,8.737,-0.888,CORRECTED
Yi1.5,base,Narrative,ses,High,200,8.64,2.23,6.41,2.227,6.413,0.003,CORRECTED
Yi1.5,base,Narrative,gender,Cisgender Man,150,10.487,2.23,8.257,2.505,7.982,-0.275,CORRECTED
Yi1.5,base,Narrative,gender,Cisgender Woman,150,11.587,2.23,9.357,3.443,8.144,-1.213,CORRECTED
Yi1.5,base,Narrative,gender,Transgender Man,150,12.733,2.23,10.503,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Yi1.5,base,Narrative,gender,Transgender Woman,150,12.893,2.23,10.663,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
