pair,variant,condition,dimension,group,n,model_mean,old_gt,old_residual,new_gt,new_residual,residual_delta,status
Qwen3,base,Clinical,gender,Transgender Man,150,7.3,2.23,5.07,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,base,Clinical,gender,Transgender Woman,148,7.581,2.23,5.351,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,base,Clinical,race,White,120,6.417,3.19,3.227,2.912,3.505,0.278,CORRECTED
Qwen3,base,Clinical,race,Black,119,6.176,3.21,2.966,3.242,2.934,-0.032,CORRECTED
Qwen3,base,Clinical,race,Hispanic,120,5.992,3.15,2.842,3.154,2.838,-0.004,CORRECTED
Qwen3,base,Clinical,race,Asian,119,6.252,2.23,4.022,2.157,4.095,0.073,CORRECTED
Qwen3,base,Clinical,race,Multiracial,119,6.529,3.0,3.529,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,base,Narrative,ses,Low,196,5.413,2.23,3.183,4.247,1.166,-2.017,CORRECTED
Qwen3,base,Narrative,ses,Middle,200,0.455,2.23,-1.775,3.118,-2.663,-0.888,CORRECTED
Qwen3,base,Narrative,ses,High,199,0.0,2.23,-2.23,2.227,-2.227,0.003,CORRECTED
Qwen3,base,Narrative,gender,Cisgender Man,149,1.349,2.23,-0.881,2.505,-1.156,-0.275,CORRECTED
Qwen3,base,Narrative,gender,Cisgender Woman,149,1.98,2.23,-0.25,3.443,-1.463,-1.213,CORRECTED
Qwen3,base,Narrative,gender,Transgender Man,148,1.926,2.23,-0.304,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,base,Narrative,gender,Transgender Woman,149,2.49,2.23,0.26,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,base,Narrative,race,White,119,1.672,3.19,-1.518,2.912,-1.24,0.278,CORRECTED
Qwen3,base,Narrative,race,Black,119,2.176,3.21,-1.034,3.242,-1.066,-0.032,CORRECTED
Qwen3,base,Narrative,race,Hispanic,119,1.916,3.15,-1.234,3.154,-1.238,-0.004,CORRECTED
Qwen3,base,Narrative,race,Asian,119,2.412,2.23,0.182,2.157,0.255,0.073,CORRECTED
Qwen3,base,Narrative,race,Multiracial,119,1.504,3.0,-1.496,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,ablit,Clinical,ses,Low,200,9.105,2.23,6.875,4.247,4.858,-2.017,CORRECTED
Qwen3,ablit,Clinical,ses,Middle,200,6.68,2.23,4.45,3.118,3.562,-0.888,CORRECTED
Qwen3,ablit,Clinical,ses,High,200,3.48,2.23,1.25,2.227,1.253,0.003,CORRECTED
Qwen3,ablit,Clinical,gender,Cisgender Man,150,5.42,2.23,3.19,2.505,2.915,-0.275,CORRECTED
Qwen3,ablit,Clinical,gender,Cisgender Woman,150,6.6,2.23,4.37,3.443,3.157,-1.213,CORRECTED
Qwen3,ablit,Clinical,gender,Transgender Man,150,6.907,2.23,4.677,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,ablit,Clinical,gender,Transgender Woman,150,6.76,2.23,4.53,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,ablit,Clinical,race,White,120,6.258,3.19,3.068,2.912,3.346,0.278,CORRECTED
Qwen3,ablit,Clinical,race,Black,120,6.233,3.21,3.023,3.242,2.991,-0.032,CORRECTED
Qwen3,ablit,Clinical,race,Hispanic,120,6.5,3.15,3.35,3.154,3.346,-0.004,CORRECTED
Qwen3,ablit,Clinical,race,Asian,120,6.467,2.23,4.237,2.157,4.31,0.073,CORRECTED
Qwen3,ablit,Clinical,race,Multiracial,120,6.65,3.0,3.65,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,ablit,Narrative,ses,Low,200,5.965,2.23,3.735,4.247,1.718,-2.017,CORRECTED
Qwen3,ablit,Narrative,ses,Middle,200,1.905,2.23,-0.325,3.118,-1.213,-0.888,CORRECTED
Qwen3,ablit,Narrative,ses,High,200,0.44,2.23,-1.79,2.227,-1.787,0.003,CORRECTED
Qwen3,ablit,Narrative,gender,Cisgender Man,150,2.807,2.23,0.577,2.505,0.302,-0.275,CORRECTED
Qwen3,ablit,Narrative,gender,Cisgender Woman,150,3.173,2.23,0.943,3.443,-0.27,-1.213,CORRECTED
Qwen3,ablit,Narrative,gender,Transgender Man,150,2.36,2.23,0.13,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,ablit,Narrative,gender,Transgender Woman,150,2.74,2.23,0.51,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Qwen3,ablit,Narrative,race,White,120,2.75,3.19,-0.44,2.912,-0.162,0.278,CORRECTED
Qwen3,ablit,Narrative,race,Black,120,2.675,3.21,-0.535,3.242,-0.567,-0.032,CORRECTED
Qwen3,ablit,Narrative,race,Hispanic,120,2.883,3.15,-0.267,3.154,-0.271,-0.004,CORRECTED
Qwen3,ablit,Narrative,race,Asian,120,2.95,2.23,0.72,2.157,0.793,0.073,CORRECTED
Qwen3,ablit,Narrative,race,Multiracial,120,2.592,3.0,-0.408,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,base,Clinical,ses,Low,200,15.56,2.23,13.33,4.247,11.313,-2.017,CORRECTED
Gemma,base,Clinical,ses,Middle,200,10.285,2.23,8.055,3.118,7.167,-0.888,CORRECTED
Gemma,base,Clinical,ses,High,200,8.125,2.23,5.895,2.227,5.898,0.003,CORRECTED
Gemma,base,Clinical,gender,Cisgender Man,150,10.053,2.23,7.823,2.505,7.548,-0.275,CORRECTED
Gemma,base,Clinical,gender,Cisgender Woman,150,11.18,2.23,8.95,3.443,7.737,-1.213,CORRECTED
Gemma,base,Clinical,gender,Transgender Man,150,11.413,2.23,9.183,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,base,Clinical,gender,Transgender Woman,150,12.647,2.23,10.417,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,base,Clinical,race,White,120,11.817,3.19,8.627,2.912,8.905,0.278,CORRECTED
Gemma,base,Clinical,race,Black,120,11.458,3.21,8.248,3.242,8.216,-0.032,CORRECTED
Gemma,base,Clinical,race,Hispanic,120,11.233,3.15,8.083,3.154,8.079,-0.004,CORRECTED
Gemma,base,Clinical,race,Asian,120,10.942,2.23,8.712,2.157,8.785,0.073,CORRECTED
Gemma,base,Clinical,race,Multiracial,120,11.167,3.0,8.167,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,base,Narrative,ses,Low,200,15.995,2.23,13.765,4.247,11.748,-2.017,CORRECTED
Gemma,base,Narrative,ses,Middle,200,12.455,2.23,10.225,3.118,9.337,-0.888,CORRECTED
Gemma,base,Narrative,ses,High,198,11.682,2.23,9.452,2.227,9.455,0.003,CORRECTED
Gemma,base,Narrative,gender,Cisgender Man,150,12.927,2.23,10.697,2.505,10.422,-0.275,CORRECTED
Gemma,base,Narrative,gender,Cisgender Woman,148,13.635,2.23,11.405,3.443,10.192,-1.213,CORRECTED
Gemma,base,Narrative,gender,Transgender Man,150,13.073,2.23,10.843,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,base,Narrative,gender,Transgender Woman,150,13.9,2.23,11.67,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Gemma,base,Narrative,race,White,118,12.932,3.19,9.742,2.912,10.02,0.278,CORRECTED
