pair,variant,dimension,group,n,model_sd,old_ref_sd,old_SI,new_ref_sd,new_SI,status
Llama3.1,base,race,Black,120,4.311,4.35,0.991,4.249,1.015,DESCRIPTIVE_only
Llama3.1,base,race,Hispanic,120,4.318,4.2,1.028,4.154,1.039,DESCRIPTIVE_only
Llama3.1,base,race,Asian,120,4.228,3.07,1.377,3.011,1.404,DESCRIPTIVE_only
Llama3.1,base,race,Multiracial,120,4.724,4.5,1.05,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Llama3.1,ablit,ses,Low,200,3.148,5.9,0.534,4.885,0.644,DESCRIPTIVE_only
Llama3.1,ablit,ses,Middle,200,2.268,5.5,0.412,3.955,0.573,DESCRIPTIVE_only
Llama3.1,ablit,ses,High,200,2.426,4.7,0.516,3.085,0.786,DESCRIPTIVE_only
Llama3.1,ablit,gender,Cisgender Man,150,3.312,4.3,0.77,3.585,0.924,DESCRIPTIVE_only
Llama3.1,ablit,gender,Cisgender Woman,150,3.796,5.1,0.744,4.192,0.906,DESCRIPTIVE_only
Llama3.1,ablit,gender,Transgender Man,150,3.409,6.2,0.55,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Llama3.1,ablit,gender,Transgender Woman,150,3.502,5.7,0.614,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
Llama3.1,ablit,race,White,120,3.49,4.19,0.833,3.835,0.91,DESCRIPTIVE_only
Llama3.1,ablit,race,Black,120,3.573,4.35,0.821,4.249,0.841,DESCRIPTIVE_only
Llama3.1,ablit,race,Hispanic,120,3.539,4.2,0.843,4.154,0.852,DESCRIPTIVE_only
Llama3.1,ablit,race,Asian,120,3.685,3.07,1.2,3.011,1.224,DESCRIPTIVE_only
Llama3.1,ablit,race,Multiracial,120,3.505,4.5,0.779,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
DeepSeekR1,base,ses,Low,200,4.798,5.9,0.813,4.885,0.982,DESCRIPTIVE_only
DeepSeekR1,base,ses,Middle,199,4.592,5.5,0.835,3.955,1.161,DESCRIPTIVE_only
DeepSeekR1,base,ses,High,200,4.696,4.7,0.999,3.085,1.522,DESCRIPTIVE_only
DeepSeekR1,base,gender,Cisgender Man,150,5.672,4.3,1.319,3.585,1.582,DESCRIPTIVE_only
DeepSeekR1,base,gender,Cisgender Woman,150,5.052,5.1,0.991,4.192,1.205,DESCRIPTIVE_only
DeepSeekR1,base,gender,Transgender Man,150,5.347,6.2,0.862,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
DeepSeekR1,base,gender,Transgender Woman,149,5.337,5.7,0.936,UNBENCHMARKABLE,DROPPED,WITHDRAWN_no_v2_GT
DeepSeekR1,base,race,White,120,5.772,4.19,1.378,3.835,1.505,DESCRIPTIVE_only
