pair,variant,condition,dimension,group,n,residual,t,p,p_bh,sig_bh_.05
Qwen3,ablit,Narrative,gender,Cisgender Man,150,0.302,1.115,2.667e-01,2.728e-01,False
Qwen3,ablit,Narrative,gender,Cisgender Woman,150,-0.27,-0.962,3.374e-01,3.432e-01,False
Qwen3,ablit,Narrative,ses,Low,200,1.718,8.173,1.532e-12,1.870e-12,True
Qwen3,ablit,Narrative,ses,Middle,200,-1.213,-6.959,4.347e-10,5.134e-10,True
Qwen3,ablit,Narrative,ses,High,200,-1.787,-19.828,0.000e+00,0.000e+00,True
Gemma,base,Clinical,race,White,120,8.905,26.181,0.000e+00,0.000e+00,True
Gemma,base,Clinical,race,Black,120,8.216,22.767,0.000e+00,0.000e+00,True
Gemma,base,Clinical,race,Hispanic,120,8.079,24.171,0.000e+00,0.000e+00,True
Gemma,base,Clinical,race,Asian,120,8.785,26.607,0.000e+00,0.000e+00,True
Gemma,base,Clinical,gender,Cisgender Man,150,7.548,25.35,0.000e+00,0.000e+00,True
Gemma,base,Clinical,gender,Cisgender Woman,150,7.737,25.799,0.000e+00,0.000e+00,True
Gemma,base,Clinical,ses,Low,200,11.313,87.502,0.000e+00,0.000e+00,True
Gemma,base,Clinical,ses,Middle,200,7.167,41.645,0.000e+00,0.000e+00,True
Gemma,base,Clinical,ses,High,200,5.898,52.109,0.000e+00,0.000e+00,True
Gemma,base,Narrative,race,White,118,10.02,38.786,0.000e+00,0.000e+00,True
Gemma,base,Narrative,race,Black,120,10.266,49.034,0.000e+00,0.000e+00,True
Gemma,base,Narrative,race,Hispanic,120,10.579,53.641,0.000e+00,0.000e+00,True
Gemma,base,Narrative,race,Asian,120,11.426,55.597,0.000e+00,0.000e+00,True
Gemma,base,Narrative,gender,Cisgender Man,150,10.422,50.02,0.000e+00,0.000e+00,True
Gemma,base,Narrative,gender,Cisgender Woman,148,10.192,53.409,0.000e+00,0.000e+00,True
Gemma,base,Narrative,ses,Low,200,11.748,245.695,0.000e+00,0.000e+00,True
Gemma,base,Narrative,ses,Middle,200,9.337,79.312,0.000e+00,0.000e+00,True
Gemma,base,Narrative,ses,High,198,9.455,74.576,0.000e+00,0.000e+00,True
Gemma,ablit,Clinical,race,White,120,8.563,144.821,0.000e+00,0.000e+00,True
Gemma,ablit,Clinical,race,Black,120,8.375,143.899,0.000e+00,0.000e+00,True
Gemma,ablit,Clinical,race,Hispanic,120,8.513,148.911,0.000e+00,0.000e+00,True
Gemma,ablit,Clinical,race,Asian,120,9.36,142.084,0.000e+00,0.000e+00,True
Gemma,ablit,Clinical,gender,Cisgender Man,150,8.942,165.713,0.000e+00,0.000e+00,True
Gemma,ablit,Clinical,gender,Cisgender Woman,150,8.29,169.712,0.000e+00,0.000e+00,True
Gemma,ablit,Clinical,ses,Low,200,7.718,200.874,0.000e+00,0.000e+00,True
Gemma,ablit,Clinical,ses,Middle,200,8.407,192.545,0.000e+00,0.000e+00,True
Gemma,ablit,Clinical,ses,High,200,8.968,214.77,0.000e+00,0.000e+00,True
Gemma,ablit,Narrative,race,White,120,8.446,117.657,0.000e+00,0.000e+00,True
Gemma,ablit,Narrative,race,Black,120,8.1,132.962,0.000e+00,0.000e+00,True
Gemma,ablit,Narrative,race,Hispanic,120,8.363,126.949,0.000e+00,0.000e+00,True
Gemma,ablit,Narrative,race,Asian,120,9.226,146.853,0.000e+00,0.000e+00,True
Gemma,ablit,Narrative,gender,Cisgender Man,150,8.815,143.243,0.000e+00,0.000e+00,True
Gemma,ablit,Narrative,gender,Cisgender Woman,150,8.124,146.383,0.000e+00,0.000e+00,True
Gemma,ablit,Narrative,ses,Low,200,7.343,150.791,0.000e+00,0.000e+00,True
Gemma,ablit,Narrative,ses,Middle,200,8.307,155.986,0.000e+00,0.000e+00,True
Gemma,ablit,Narrative,ses,High,200,8.938,190.564,0.000e+00,0.000e+00,True
GLM,base,Clinical,race,White,120,9.313,20.445,0.000e+00,0.000e+00,True
GLM,base,Clinical,race,Black,120,9.133,19.945,0.000e+00,0.000e+00,True
GLM,base,Clinical,race,Hispanic,120,8.996,19.835,0.000e+00,0.000e+00,True
GLM,base,Clinical,race,Asian,120,10.218,20.977,0.000e+00,0.000e+00,True
GLM,base,Clinical,gender,Cisgender Man,150,8.095,18.294,0.000e+00,0.000e+00,True
GLM,base,Clinical,gender,Cisgender Woman,150,8.637,21.98,0.000e+00,0.000e+00,True
GLM,base,Clinical,ses,Low,200,11.903,58.152,0.000e+00,0.000e+00,True
GLM,base,Clinical,ses,Middle,200,9.762,39.051,0.000e+00,0.000e+00,True
GLM,base,Clinical,ses,High,200,5.743,17.388,0.000e+00,0.000e+00,True
GLM,base,Narrative,race,White,120,5.138,10.854,1.421e-14,1.829e-14,True
GLM,base,Narrative,race,Black,120,5.508,12.093,4.441e-16,6.016e-16,True
GLM,base,Narrative,race,Hispanic,120,6.213,12.691,0.000e+00,0.000e+00,True
GLM,base,Narrative,race,Asian,120,6.368,13.259,0.000e+00,0.000e+00,True
GLM,base,Narrative,gender,Cisgender Man,150,6.222,13.753,0.000e+00,0.000e+00,True
GLM,base,Narrative,gender,Cisgender Woman,150,4.897,11.833,0.000e+00,0.000e+00,True
GLM,base,Narrative,ses,Low,200,7.768,30.552,0.000e+00,0.000e+00,True
GLM,base,Narrative,ses,Middle,200,6.132,18.245,0.000e+00,0.000e+00,True
GLM,base,Narrative,ses,High,200,2.323,7.229,1.246e-10,1.501e-10,True
GLM,ablit,Clinical,race,White,120,9.68,21.732,0.000e+00,0.000e+00,True
GLM,ablit,Clinical,race,Black,120,10.116,25.966,0.000e+00,0.000e+00,True
GLM,ablit,Clinical,race,Hispanic,120,9.929,23.811,0.000e+00,0.000e+00,True
GLM,ablit,Clinical,race,Asian,120,10.093,24.835,0.000e+00,0.000e+00,True
GLM,ablit,Clinical,gender,Cisgender Man,150,9.615,26.974,0.000e+00,0.000e+00,True
GLM,ablit,Clinical,gender,Cisgender Woman,150,9.397,26.445,0.000e+00,0.000e+00,True
GLM,ablit,Clinical,ses,Low,200,11.788,57.329,0.000e+00,0.000e+00,True
GLM,ablit,Clinical,ses,Middle,200,10.182,46.774,0.000e+00,0.000e+00,True
GLM,ablit,Clinical,ses,High,200,7.393,24.349,0.000e+00,0.000e+00,True
GLM,ablit,Narrative,race,White,120,7.18,18.193,0.000e+00,0.000e+00,True
GLM,ablit,Narrative,race,Black,120,7.033,15.293,0.000e+00,0.000e+00,True
GLM,ablit,Narrative,race,Hispanic,120,7.863,21.705,0.000e+00,0.000e+00,True
GLM,ablit,Narrative,race,Asian,120,7.651,19.818,0.000e+00,0.000e+00,True
GLM,ablit,Narrative,gender,Cisgender Man,150,7.955,21.411,0.000e+00,0.000e+00,True
GLM,ablit,Narrative,gender,Cisgender Woman,150,6.117,18.099,0.000e+00,0.000e+00,True
GLM,ablit,Narrative,ses,Low,200,8.423,33.755,0.000e+00,0.000e+00,True
GLM,ablit,Narrative,ses,Middle,200,7.487,25.497,0.000e+00,0.000e+00,True
GLM,ablit,Narrative,ses,High,200,5.918,21.027,0.000e+00,0.000e+00,True
Phi4,base,Clinical,race,White,120,8.155,19.262,0.000e+00,0.000e+00,True
Phi4,base,Clinical,race,Black,120,7.633,17.352,0.000e+00,0.000e+00,True
Phi4,base,Clinical,race,Hispanic,120,8.021,19.92,0.000e+00,0.000e+00,True
Phi4,base,Clinical,race,Asian,120,9.185,23.621,0.000e+00,0.000e+00,True
Phi4,base,Clinical,gender,Cisgender Man,150,8.235,22.564,0.000e+00,0.000e+00,True
Phi4,base,Clinical,gender,Cisgender Woman,150,8.057,24.006,0.000e+00,0.000e+00,True
Phi4,base,Clinical,ses,Low,200,11.858,97.993,0.000e+00,0.000e+00,True
Phi4,base,Clinical,ses,Middle,200,7.492,38.649,0.000e+00,0.000e+00,True
Phi4,base,Clinical,ses,High,200,4.578,25.818,0.000e+00,0.000e+00,True
Phi4,base,Narrative,race,White,120,5.405,12.188,4.441e-16,6.016e-16,True
Phi4,base,Narrative,race,Black,120,5.533,11.76,1.332e-15,1.771e-15,True
Phi4,base,Narrative,race,Hispanic,120,4.771,10.135,1.128e-13,1.416e-13,True
Phi4,base,Narrative,race,Asian,120,6.185,14.971,0.000e+00,0.000e+00,True
Phi4,base,Narrative,gender,Cisgender Man,150,5.695,14.889,0.000e+00,0.000e+00,True
Phi4,base,Narrative,gender,Cisgender Woman,150,4.77,11.894,0.000e+00,0.000e+00,True
Phi4,base,Narrative,ses,Low,200,8.118,30.051,0.000e+00,0.000e+00,True
Phi4,base,Narrative,ses,Middle,200,4.052,15.398,0.000e+00,0.000e+00,True
Phi4,base,Narrative,ses,High,200,3.033,10.158,2.220e-16,3.054e-16,True
Phi4,ablit,Clinical,race,White,120,6.188,16.042,0.000e+00,0.000e+00,True
Phi4,ablit,Clinical,race,Black,120,6.208,15.634,0.000e+00,0.000e+00,True
Phi4,ablit,Clinical,race,Hispanic,120,5.646,15.924,0.000e+00,0.000e+00,True
Phi4,ablit,Clinical,race,Asian,120,7.385,21.442,0.000e+00,0.000e+00,True
Phi4,ablit,Clinical,gender,Cisgender Man,150,6.388,21.615,0.000e+00,0.000e+00,True
Phi4,ablit,Clinical,gender,Cisgender Woman,150,6.084,21.489,0.000e+00,0.000e+00,True
Phi4,ablit,Clinical,ses,Low,200,9.178,61.14,0.000e+00,0.000e+00,True
Phi4,ablit,Clinical,ses,Middle,200,5.922,41.165,0.000e+00,0.000e+00,True
Phi4,ablit,Clinical,ses,High,200,3.308,17.69,0.000e+00,0.000e+00,True
Phi4,ablit,Narrative,race,White,120,5.421,15.627,0.000e+00,0.000e+00,True
Phi4,ablit,Narrative,race,Black,120,4.533,10.919,1.199e-14,1.554e-14,True
Phi4,ablit,Narrative,race,Hispanic,120,4.038,9.819,2.918e-13,3.612e-13,True
Phi4,ablit,Narrative,race,Asian,120,5.426,13.553,0.000e+00,0.000e+00,True
Phi4,ablit,Narrative,gender,Cisgender Man,150,5.668,19.652,0.000e+00,0.000e+00,True
Phi4,ablit,Narrative,gender,Cisgender Woman,150,5.01,16.499,0.000e+00,0.000e+00,True
Phi4,ablit,Narrative,ses,Low,200,7.533,49.431,0.000e+00,0.000e+00,True
Phi4,ablit,Narrative,ses,Middle,200,4.632,23.491,0.000e+00,0.000e+00,True
Phi4,ablit,Narrative,ses,High,200,1.338,6.379,6.167e-09,7.119e-09,True
Qwen2.5,base,Clinical,race,White,120,4.663,9.488,8.133e-13,1.003e-12,True
Qwen2.5,base,Clinical,race,Black,120,5.425,11.476,2.665e-15,3.517e-15,True
Qwen2.5,base,Clinical,race,Hispanic,120,4.746,10.091,1.286e-13,1.608e-13,True
Qwen2.5,base,Clinical,race,Asian,120,5.501,12.589,0.000e+00,0.000e+00,True
Qwen2.5,base,Clinical,gender,Cisgender Man,150,4.768,11.194,0.000e+00,0.000e+00,True
Qwen2.5,base,Clinical,gender,Cisgender Woman,150,4.857,11.993,0.000e+00,0.000e+00,True
Qwen2.5,base,Clinical,ses,Low,200,8.953,57.828,0.000e+00,0.000e+00,True
Qwen2.5,base,Clinical,ses,Middle,200,4.952,22.839,0.000e+00,0.000e+00,True
Qwen2.5,base,Clinical,ses,High,200,0.913,3.803,2.409e-04,2.551e-04,True
Qwen2.5,base,Narrative,race,White,120,2.663,4.967,6.179e-06,6.701e-06,True
