pair,variant,condition,dimension,group,n,residual,t,p,p_bh,sig_bh_.05
DeepSeekR1,base,Clinical,gender,Cisgender Man,150,6.582,14.211,0.000e+00,0.000e+00,True
DeepSeekR1,base,Clinical,gender,Cisgender Woman,150,6.917,16.769,0.000e+00,0.000e+00,True
DeepSeekR1,base,Clinical,ses,Low,200,9.758,28.762,0.000e+00,0.000e+00,True
DeepSeekR1,base,Clinical,ses,Middle,199,6.405,19.674,0.000e+00,0.000e+00,True
DeepSeekR1,base,Clinical,ses,High,200,5.363,16.151,0.000e+00,0.000e+00,True
DeepSeekR1,base,Narrative,race,White,119,3.357,7.617,4.474e-10,5.266e-10,True
DeepSeekR1,base,Narrative,race,Black,120,3.841,7.951,1.316e-10,1.580e-10,True
DeepSeekR1,base,Narrative,race,Hispanic,120,3.696,7.76,2.559e-10,3.051e-10,True
DeepSeekR1,base,Narrative,race,Asian,119,3.818,7.776,2.567e-10,3.051e-10,True
DeepSeekR1,base,Narrative,gender,Cisgender Man,150,4.015,9.437,8.260e-14,1.048e-13,True
DeepSeekR1,base,Narrative,gender,Cisgender Woman,149,3.443,9.657,3.908e-14,4.993e-14,True
DeepSeekR1,base,Narrative,ses,Low,199,5.336,18.25,0.000e+00,0.000e+00,True
DeepSeekR1,base,Narrative,ses,Middle,200,2.902,8.306,8.202e-13,1.008e-12,True
DeepSeekR1,base,Narrative,ses,High,198,2.091,6.426,5.137e-09,5.949e-09,True
DeepSeekR1,ablit,Clinical,race,White,120,5.871,16.741,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Clinical,race,Black,120,5.283,13.193,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Clinical,race,Hispanic,120,5.663,16.194,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Clinical,race,Asian,120,6.193,15.993,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Clinical,gender,Cisgender Man,150,6.082,16.906,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Clinical,gender,Cisgender Woman,150,5.824,18.102,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Clinical,ses,Low,200,5.328,19.873,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Clinical,ses,Middle,200,5.432,21.263,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Clinical,ses,High,200,5.883,19.6,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Narrative,race,White,120,4.338,9.939,2.029e-13,2.521e-13,True
DeepSeekR1,ablit,Narrative,race,Black,120,4.375,10.185,9.726e-14,1.225e-13,True
DeepSeekR1,ablit,Narrative,race,Hispanic,120,4.379,11.361,3.553e-15,4.655e-15,True
DeepSeekR1,ablit,Narrative,race,Asian,120,4.643,11.837,8.882e-16,1.190e-15,True
DeepSeekR1,ablit,Narrative,gender,Cisgender Man,150,3.828,9.922,1.377e-14,1.778e-14,True
DeepSeekR1,ablit,Narrative,gender,Cisgender Woman,150,4.65,13.217,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Narrative,ses,Low,200,4.673,16.256,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Narrative,ses,Middle,200,3.182,10.236,0.000e+00,0.000e+00,True
DeepSeekR1,ablit,Narrative,ses,High,200,4.313,13.04,0.000e+00,0.000e+00,True
Yi1.5,base,Clinical,race,White,120,11.113,31.611,0.000e+00,0.000e+00,True
Yi1.5,base,Clinical,race,Black,120,10.708,31.129,0.000e+00,0.000e+00,True
Yi1.5,base,Clinical,race,Hispanic,120,10.671,32.736,0.000e+00,0.000e+00,True
Yi1.5,base,Clinical,race,Asian,120,11.843,32.485,0.000e+00,0.000e+00,True
Yi1.5,base,Clinical,gender,Cisgender Man,150,10.088,31.137,0.000e+00,0.000e+00,True
Yi1.5,base,Clinical,gender,Cisgender Woman,150,9.677,30.958,0.000e+00,0.000e+00,True
Yi1.5,base,Clinical,ses,Low,200,11.638,56.339,0.000e+00,0.000e+00,True
Yi1.5,base,Clinical,ses,Middle,200,11.172,42.742,0.000e+00,0.000e+00,True
Yi1.5,base,Clinical,ses,High,200,8.908,37.388,0.000e+00,0.000e+00,True
Yi1.5,base,Narrative,race,White,120,9.171,20.819,0.000e+00,0.000e+00,True
Yi1.5,base,Narrative,race,Black,120,8.091,16.964,0.000e+00,0.000e+00,True
Yi1.5,base,Narrative,race,Hispanic,120,8.938,20.199,0.000e+00,0.000e+00,True
Yi1.5,base,Narrative,race,Asian,120,9.86,21.334,0.000e+00,0.000e+00,True
Yi1.5,base,Narrative,gender,Cisgender Man,150,7.982,20.029,0.000e+00,0.000e+00,True
Yi1.5,base,Narrative,gender,Cisgender Woman,150,8.144,23.325,0.000e+00,0.000e+00,True
Yi1.5,base,Narrative,ses,Low,200,11.033,41.728,0.000e+00,0.000e+00,True
Yi1.5,base,Narrative,ses,Middle,200,8.737,29.986,0.000e+00,0.000e+00,True
Yi1.5,base,Narrative,ses,High,200,6.413,19.055,0.000e+00,0.000e+00,True
Yi1.5,ablit,Clinical,race,White,120,9.771,24.749,0.000e+00,0.000e+00,True
Yi1.5,ablit,Clinical,race,Black,120,9.383,24.467,0.000e+00,0.000e+00,True
Yi1.5,ablit,Clinical,race,Hispanic,120,9.079,24.216,0.000e+00,0.000e+00,True
Yi1.5,ablit,Clinical,race,Asian,120,10.026,24.8,0.000e+00,0.000e+00,True
Yi1.5,ablit,Clinical,gender,Cisgender Man,150,9.788,30.039,0.000e+00,0.000e+00,True
Yi1.5,ablit,Clinical,gender,Cisgender Woman,150,8.05,23.39,0.000e+00,0.000e+00,True
Yi1.5,ablit,Clinical,ses,Low,200,9.793,33.626,0.000e+00,0.000e+00,True
Yi1.5,ablit,Clinical,ses,Middle,200,9.332,33.333,0.000e+00,0.000e+00,True
Yi1.5,ablit,Clinical,ses,High,200,8.558,29.534,0.000e+00,0.000e+00,True
Yi1.5,ablit,Narrative,race,White,120,8.238,23.404,0.000e+00,0.000e+00,True
Yi1.5,ablit,Narrative,race,Black,120,8.083,19.84,0.000e+00,0.000e+00,True
Yi1.5,ablit,Narrative,race,Hispanic,120,9.313,24.652,0.000e+00,0.000e+00,True
Yi1.5,ablit,Narrative,race,Asian,120,8.985,21.814,0.000e+00,0.000e+00,True
Yi1.5,ablit,Narrative,gender,Cisgender Man,150,8.135,23.83,0.000e+00,0.000e+00,True
Yi1.5,ablit,Narrative,gender,Cisgender Woman,150,7.884,24.942,0.000e+00,0.000e+00,True
Yi1.5,ablit,Narrative,ses,Low,200,9.108,35.719,0.000e+00,0.000e+00,True
Yi1.5,ablit,Narrative,ses,Middle,200,7.727,25.734,0.000e+00,0.000e+00,True
Yi1.5,ablit,Narrative,ses,High,200,7.988,27.559,0.000e+00,0.000e+00,True
